global_step,grad_norm,loss,train/ssim,train/loss,validation/ssim,validation/loss,validation/num_examples,test/ssim,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
496,,,0.662247862134661,0.3462886810302734,0.6423370756322102,0.3618734914664814,3554.0,0.6602030873664828,0.3636646414562098,3581.0,223.3027875423432,469.53961086273193,223.3027875423432,246.15660953521729,0.0640134811401367,0.0
500,1.8438069,0.26213405,,,,,,,,,,,,,,
683,,,0.6654168537684849,0.3475549221038818,0.6446226138242122,0.3621792168045687,3554.0,0.6644285404958461,0.363831537923677,3581.0,303.6702642440796,554.0282709598541,303.6702642440796,250.2340030670166,0.1020271778106689,0.0
868,,,0.6622203418186733,0.3510175091879708,0.6395800863683525,0.3661817766403172,3554.0,0.6591895731159243,0.3686295727450432,3581.0,383.8506917953491,638.3348982334137,383.8506917953491,254.3182327747345,0.1381831169128418,0.0
1000,1.4915172,0.29025078,,,,,,,,,,,,,,
1129,,,0.6686339378356934,0.3435202326093401,0.6467915085774831,0.3595965401000633,3554.0,0.6666828018098995,0.3609045774901389,3581.0,463.8143811225891,722.4218344688416,463.8143811225891,258.40154790878296,0.1697685718536377,0.0
1476,,,0.6760357448032924,0.3443007469177246,0.6559483619908906,0.3581065884720561,3554.0,0.6748250723218026,0.3604678377962685,3581.0,543.8607280254364,806.5858817100525,543.8607280254364,262.4837181568146,0.1934113502502441,0.0
1500,1.9742682,0.3620159,,,,,,,,,,,,,,
1822,,,0.6779848507472447,0.3381808825901576,0.6564651515018289,0.3530355871025605,3554.0,0.6749783334569603,0.3552665380218514,3581.0,624.0244107246399,890.869146823883,624.0244107246399,266.56731700897217,0.2180778980255127,0.0
2000,1.140211,0.462594,,,,,,,,,,,,,,
2166,,,0.6712502070835659,0.3475286279405866,0.6513365497063168,0.3614813139684159,3554.0,0.6707276549628246,0.3628534073604614,3581.0,704.0887064933777,975.0503630638124,704.0887064933777,270.6484169960022,0.2421605587005615,0.0
2500,1.3803468,0.27065623,,,,,,,,,,,,,,
2511,,,0.6702662876674107,0.3421129158564976,0.6499160139763295,0.3548576084495463,3554.0,0.6675702574132575,0.3580412258818242,3581.0,784.0783524513245,1059.1613767147064,784.0783524513245,274.7311940193176,0.269313097000122,0.0
2847,,,0.6817199162074498,0.3315699100494385,0.6605968571943585,0.3468653003218205,3554.0,0.6801391022060876,0.3482887589775028,3581.0,862.6347966194153,1143.2884385585785,862.6347966194153,278.8129780292511,1.7470402717590332,0.0
3000,1.575703,0.26928788,,,,,,,,,,,,,,
3188,,,0.6780674116952079,0.3362302439553397,0.6573529605725943,0.352040236628183,3554.0,0.676835942954133,0.3532845402056863,3581.0,942.7151117324828,1227.4862661361694,942.7151117324828,282.894237279892,1.7716963291168213,0.0
3500,2.055434,0.35832214,,,,,,,,,,,,,,
3531,,,0.6830400739397321,0.329080411366054,0.6638544927370569,0.3438511871526801,3554.0,0.681505294326829,0.3459361187408371,3581.0,1022.8085157871246,1311.6914644241333,1022.8085157871246,286.96973156929016,1.7969119548797607,0.0
3873,,,0.6889654568263462,0.3292862006596156,0.6690368137134215,0.3437973305826182,3554.0,0.6873438072683957,0.3459084390162489,3581.0,1102.8395705223083,1395.834076166153,1102.8395705223083,291.04607820510864,1.8210134506225584,0.0
4000,5.055578,0.33705267,,,,,,,,,,,,,,
4215,,,0.6667155538286481,0.3571751458304269,0.6439329199933174,0.375333340569165,3554.0,0.6643575004145141,0.3749226535774748,3581.0,1182.821152925491,1479.9329361915588,1182.821152925491,295.1271195411682,1.8459393978118896,0.0
4500,0.70188224,0.3286571,,,,,,,,,,,,,,
4561,,,0.6882296289716449,0.327768189566476,0.6674509987645962,0.3425016129493177,3554.0,0.6858579651066392,0.3449530453696593,3581.0,1262.8111851215365,1564.0418002605438,1262.8111851215365,299.20985770225525,1.87042498588562,0.0
