global_step,grad_norm,loss,train/loss,validation/loss,validation/num_examples,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
1246,,,0.1316567547853638,0.1324533089078491,83274637.0,0.135096893852796,95000000.0,862.8673768043518,4673.351754188538,862.8673768043518,3810.291472196579,0.1557672023773193,0.0
1420,,,0.1310764599427487,0.1324713890489549,83274637.0,0.1349765927425986,95000000.0,983.6590650081636,4917.13800907135,983.6590650081636,3933.256739139557,0.1793334484100341,0.0
1500,0.09725404,0.12794474,,,,,,,,,,,
1593,,,0.1317302388308933,0.1320736700381834,83274637.0,0.1345820564555921,95000000.0,1104.4129085540771,5160.142123937607,1104.4129085540771,4055.4788019657135,0.2014212608337402,0.0
1763,,,0.1310514054677021,0.1321719327657501,83274637.0,0.1348121776726973,95000000.0,1225.1209287643433,5401.911085367203,1225.1209287643433,4176.51301908493,0.2222332954406738,0.0
1937,,,0.1300252479202342,0.1315101436775101,83274637.0,0.1340973121916118,95000000.0,1345.2244369983673,5643.257565021515,1345.2244369983673,4297.729638576508,0.2428886890411377,0.0
2000,0.0039615524,0.12539822,,,,,,,,,,,
2106,,,0.1306348914901415,0.131581524486261,83274637.0,0.1340616879728618,95000000.0,1465.9347670078278,5901.933885574341,1465.9347670078278,4435.667479753494,0.2652931213378906,0.0
2280,,,0.1299213991506294,0.1314656815165703,83274637.0,0.1339436931743421,95000000.0,1586.92808842659,6166.037005186081,1586.92808842659,4578.74246764183,0.2943346500396728,0.0
2452,,,0.1282057983320464,0.1313638672405741,83274637.0,0.1339249580180921,95000000.0,1707.3107225894928,6429.408533811569,1707.3107225894928,4721.699376344681,0.3205630779266357,0.0
2500,0.0028224033,0.12725432,,,,,,,,,,,
2629,,,0.129984475344232,0.131163568268166,83274637.0,0.1335605824629934,95000000.0,1827.946754693985,6696.769212245941,1827.946754693985,4868.394285678864,0.3444957733154297,0.0
2797,,,0.1297653577050323,0.1309964910707146,83274637.0,0.1334541721833881,95000000.0,1949.261926651001,6960.97970700264,1949.261926651001,5011.2578637599945,0.3702840805053711,0.0
2967,,,0.1275362218232275,0.1310098574228849,83274637.0,0.1332381970703125,95000000.0,2070.1923229694366,7229.499065876007,2070.1923229694366,5158.819734811783,0.3914461135864258,0.0
3000,0.004627738,0.1267256,,,,,,,,,,,
3136,,,0.1296692668173298,0.130624590620401,83274637.0,0.1330101122944079,95000000.0,2190.217220544815,7495.405162334442,2190.217220544815,5304.670695304871,0.4160161018371582,0.0
3305,,,0.1304276871418803,0.1306816630697231,83274637.0,0.1332013373046875,95000000.0,2310.7342343330383,7761.510757923126,2310.7342343330383,5450.231810331345,0.437877893447876,0.0
3478,,,0.1300596429866815,0.1305797237368924,83274637.0,0.13286286328125,95000000.0,2430.834977388382,8027.666455030441,2430.834977388382,5596.258558034897,0.4603793621063232,0.0
3500,0.010411723,0.1377191,,,,,,,,,,,
3649,,,0.1285871615012487,0.1303508275124633,83274637.0,0.1326868146175986,95000000.0,2551.807795524597,8292.085990667343,2551.807795524597,5739.673795938492,0.4860258102416992,0.0
3819,,,0.1275556819900027,0.1303255970381023,83274637.0,0.1326529245374177,95000000.0,2673.0149159431458,8559.199102163315,2673.0149159431458,5885.547197341919,0.5128910541534424,0.0
3989,,,0.1292636757657962,0.1304077369563466,83274637.0,0.1327374169819078,95000000.0,2793.950444459915,8827.959662914276,2793.950444459915,6033.336914777756,0.5424618721008301,0.0
4000,0.0021689076,0.12781763,,,,,,,,,,,
