global_step,grad_norm,loss,train/accuracy,train/loss,train/bleu,validation/accuracy,validation/loss,validation/bleu,validation/num_examples,test/accuracy,test/loss,test/bleu,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
99,1.4229958,9.429397,,,,,,,,,,,,,,,,,
100,1.3979119,9.416818,,,,,,,,,,,,,,,,,
500,0.1157087,8.324926,,,,,,,,,,,,,,,,,
1000,0.1449757,7.681801,,,,,,,,,,,,,,,,,
1500,0.19974019,6.8634415,,,,,,,,,,,,,,,,,
2000,0.25872204,6.220836,,,,,,,,,,,,,,,,,
2354,,,0.2390999495983123,5.794710159301758,2.9965542897400064,0.2231590449810028,5.979231357574463,1.0355133685575952,3000.0,0.2059148252010345,6.264630317687988,0.9448569837909996,3003.0,878.1650412082672,2603.815593481064,878.1650412082672,1725.5513274669647,0.0320847034454345,0.0
2500,0.33351302,5.7764463,,,,,,,,,,,,,,,,,
3000,0.3710268,5.3654428,,,,,,,,,,,,,,,,,
3500,0.41482398,5.0310273,,,,,,,,,,,,,,,,,
4000,0.4735734,4.8081903,,,,,,,,,,,,,,,,,
4500,0.51254445,4.5042095,,,,,,,,,,,,,,,,,
4709,,,0.3723996579647064,4.19680643081665,10.72794150678018,0.3527544438838959,4.391270160675049,6.638556235953683,3000.0,0.3339956998825073,4.64681339263916,4.894400741660307,3003.0,1718.3633179664612,4175.9186906814575,1718.3633179664612,2457.3663341999054,0.0557503700256347,0.0
5000,0.571278,4.0958805,,,,,,,,,,,,,,,,,
5500,0.61117715,3.953936,,,,,,,,,,,,,,,,,
6000,0.61130714,3.7191799,,,,,,,,,,,,,,,,,
6500,0.62577444,3.3709662,,,,,,,,,,,,,,,,,
7000,0.60939234,3.4091582,,,,,,,,,,,,,,,,,
7063,,,0.496644914150238,3.081625461578369,20.618799445569337,0.4871731102466583,3.160738945007324,15.866710860775088,3000.0,0.4816803336143493,3.2570042610168457,14.23482273133436,3003.0,2558.6197278499603,5506.827075481415,2558.6197278499603,2947.926177740097,0.0807209014892578,0.0
7500,0.5688081,3.120122,,,,,,,,,,,,,,,,,
8000,0.5702377,3.1061938,,,,,,,,,,,,,,,,,
8500,0.4977653,2.9469416,,,,,,,,,,,,,,,,,
9000,0.51374865,2.9134474,,,,,,,,,,,,,,,,,
9417,,,0.542782723903656,2.623689889907837,24.78801555610238,0.5464160442352295,2.594118595123291,20.31014701984931,3000.0,0.546139121055603,2.626765251159668,18.94939669460022,3003.0,3398.745558977127,6803.030266284943,3398.745558977127,3403.9124541282654,0.1050713062286377,0.0
9500,0.49677455,2.6917214,,,,,,,,,,,,,,,,,
10000,0.48036227,2.6605208,,,,,,,,,,,,,,,,,
10500,0.4445868,2.6052248,,,,,,,,,,,,,,,,,
11000,0.46241343,2.6037834,,,,,,,,,,,,,,,,,
11500,0.42646468,2.5509202,,,,,,,,,,,,,,,,,
11771,,,0.5701367855072021,2.373084783554077,26.71833475478846,0.5803523659706116,2.288768529891968,22.777444797410663,3000.0,0.5816512703895569,2.2855377197265625,21.38527000165073,3003.0,4238.6881992816925,8078.895473003387,4238.6881992816925,3839.742887496948,0.1301331520080566,0.0
12000,0.42034072,2.5616486,,,,,,,,,,,,,,,,,
12500,0.43204975,2.420242,,,,,,,,,,,,,,,,,
13000,0.393525,2.382198,,,,,,,,,,,,,,,,,
13500,0.39350483,2.474264,,,,,,,,,,,,,,,,,
14000,0.3757416,2.3852897,,,,,,,,,,,,,,,,,
14125,,,0.5916720628738403,2.1824207305908203,28.196732035148745,0.6031666994094849,2.108996152877808,24.17342051048301,3000.0,0.6041136384010315,2.085299491882324,22.705501317599904,3003.0,5078.621715545654,9348.642786502838,5078.621715545654,4269.464607715607,0.155181884765625,0.0
14500,0.35370243,2.2650697,,,,,,,,,,,,,,,,,
15000,0.36375692,2.3697956,,,,,,,,,,,,,,,,,
15500,0.33952758,2.2906597,,,,,,,,,,,,,,,,,
16000,0.33604905,2.217588,,,,,,,,,,,,,,,,,
16480,,,0.602558970451355,2.0928454399108887,29.180860091401485,0.6138423681259155,1.9973779916763303,24.98317953482843,3000.0,0.6194294691085815,1.9588960409164429,24.09056221475785,3003.0,5918.54381942749,10626.06962442398,5918.54381942749,4706.8753480911255,0.1824162006378173,0.0
16500,0.32761666,2.220206,,,,,,,,,,,,,,,,,
17000,0.32829553,2.3443568,,,,,,,,,,,,,,,,,
17500,0.3157893,2.1899545,,,,,,,,,,,,,,,,,
18000,0.30551848,2.1258771,,,,,,,,,,,,,,,,,
18500,0.3084691,2.2367213,,,,,,,,,,,,,,,,,
18835,,,0.619259238243103,1.9477331638336184,30.11433571329848,0.6248155832290649,1.9138104915618896,25.60347878280189,3000.0,0.6287025809288025,1.877466082572937,24.52614101977529,3003.0,6758.460902690887,11892.069929361343,6758.460902690887,5132.866238355637,0.2085993289947509,0.0
19000,0.2980481,2.0558386,,,,,,,,,,,,,,,,,
19500,0.3005251,2.0819948,,,,,,,,,,,,,,,,,
20000,0.279058,2.1009371,,,,,,,,,,,,,,,,,
20500,0.27733555,2.0916636,,,,,,,,,,,,,,,,,
21000,0.27180967,2.0101597,,,,,,,,,,,,,,,,,
21190,,,0.6186280846595764,1.9614083766937256,29.65833131160181,0.6329493522644043,1.85434365272522,26.3417374143938,3000.0,0.6369182467460632,1.8068076372146609,25.263544044158905,3003.0,7598.609153270721,13158.18603682518,7598.609153270721,5558.664308309555,0.3112549781799316,0.0
21500,0.26280013,2.0251641,,,,,,,,,,,,,,,,,
22000,0.27086043,2.1080527,,,,,,,,,,,,,,,,,
22500,0.25787282,2.0026772,,,,,,,,,,,,,,,,,
23000,0.26609758,2.1045594,,,,,,,,,,,,,,,,,
23500,0.2634488,2.002818,,,,,,,,,,,,,,,,,
23545,,,0.6223182678222656,1.9257683753967283,30.74205960973181,0.6388389468193054,1.8090355396270752,26.658240310922874,3000.0,0.6459706425666809,1.7570536136627195,25.690809610209783,3003.0,8438.74411201477,14426.950294733047,8438.74411201477,5987.199859142304,0.3387362957000732,0.0
24000,0.25265032,1.999687,,,,,,,,,,,,,,,,,
24500,0.24761179,1.9731423,,,,,,,,,,,,,,,,,
25000,0.2494661,1.9470454,,,,,,,,,,,,,,,,,
25500,0.24153124,1.9208516,,,,,,,,,,,,,,,,,
25901,,,0.6367673277854919,1.8128650188446045,30.562781327433708,0.6427942514419556,1.7707115411758425,27.09539723868772,3000.0,0.6497588753700256,1.708775520324707,26.06388113648153,3003.0,9279.006174087524,15690.501833438871,9279.006174087524,6410.395622491837,0.3654816150665283,0.0
26000,0.23347642,1.877761,,,,,,,,,,,,,,,,,
26500,0.24416956,1.9543358,,,,,,,,,,,,,,,,,
27000,0.23761642,1.8973373,,,,,,,,,,,,,,,,,
27500,0.2417192,2.0231013,,,,,,,,,,,,,,,,,
28000,0.23721698,1.9393636,,,,,,,,,,,,,,,,,
28255,,,0.6323233246803284,1.8486928939819336,31.546094148874182,0.647034764289856,1.738301396369934,27.224801526934705,3000.0,0.6549416184425354,1.672187328338623,26.5802253430114,3003.0,10118.944992303848,16955.592629671097,10118.944992303848,6835.453477859497,0.3930039405822754,0.0
28500,0.23010683,1.9458854,,,,,,,,,,,,,,,,,
29000,0.23396479,1.8585097,,,,,,,,,,,,,,,,,
29500,0.2374384,1.935469,,,,,,,,,,,,,,,,,
30000,0.23880087,1.9573675,,,,,,,,,,,,,,,,,
30500,0.22978139,1.892748,,,,,,,,,,,,,,,,,
30611,,,0.6344592571258545,1.8246880769729608,31.079205482261536,0.6497873663902283,1.712010622024536,27.56982375236608,3000.0,0.6579629182815552,1.6442877054214478,26.68151550804582,3003.0,10959.192777395248,18231.570442676544,10959.192777395248,7271.090705394745,0.4188506603240967,0.0
31000,0.2177791,1.8018458,,,,,,,,,,,,,,,,,
31500,0.22034761,1.8160999,,,,,,,,,,,,,,,,,
32000,0.22388469,1.900325,,,,,,,,,,,,,,,,,
32500,0.21977518,1.8850802,,,,,,,,,,,,,,,,,
32967,,,0.641680121421814,1.7624274492263794,31.68453021303038,0.654573380947113,1.6891130208969116,28.027298562378714,3000.0,0.6622392535209656,1.6180312633514404,26.86981863367465,3003.0,11799.32900738716,19499.104923725128,11799.32900738716,7698.396513223648,0.4439373016357422,0.0
33000,0.22162756,1.8585944,,,,,,,,,,,,,,,,,
33500,0.21872692,1.7747886,,,,,,,,,,,,,,,,,
34000,0.22968644,1.8741419,,,,,,,,,,,,,,,,,
34500,0.21802333,1.895219,,,,,,,,,,,,,,,,,
35000,0.2216031,1.8204467,,,,,,,,,,,,,,,,,
35322,,,0.6431238651275635,1.7652592658996582,31.699655486503328,0.6557885408401489,1.6659809350967407,28.23259586110564,3000.0,0.6649119853973389,1.592592716217041,27.33828963506321,3003.0,12639.25471663475,20754.64476943016,12639.25471663475,8113.917382717133,0.470017671585083,0.0
35500,0.22134693,1.895309,,,,,,,,,,,,,,,,,
36000,0.22025412,1.8339952,,,,,,,,,,,,,,,,,
36500,0.21907301,1.8136575,,,,,,,,,,,,,,,,,
37000,0.21478519,1.8810964,,,,,,,,,,,,,,,,,
37500,0.23550908,1.8399612,,,,,,,,,,,,,,,,,
37677,,,0.6570726037025452,1.662993550300598,32.47941990390406,0.6585162878036499,1.6495169401168823,28.02611332974605,3000.0,0.6668990850448608,1.577442646026611,27.16152967855696,3003.0,13479.5070374012,22052.328681230545,13479.5070374012,8571.254666090012,0.4965288639068603,0.0
38000,0.22131762,1.8939081,,,,,,,,,,,,,,,,,
38500,0.22221535,1.9435372,,,,,,,,,,,,,,,,,
39000,0.22868098,1.8377765,,,,,,,,,,,,,,,,,
39500,0.21073803,1.7957366,,,,,,,,,,,,,,,,,
40000,0.22029553,1.8106948,,,,,,,,,,,,,,,,,
40033,,,0.6479796171188354,1.7301517724990845,32.19388530891541,0.6622112393379211,1.6316739320755005,28.438767871809628,3000.0,0.6702225208282471,1.557000994682312,27.443725232479164,3003.0,14319.63338279724,23344.76671028137,14319.63338279724,9023.47309565544,0.5230491161346436,0.0
40500,0.21289065,1.7898856,,,,,,,,,,,,,,,,,
41000,0.21633534,1.756286,,,,,,,,,,,,,,,,,
41500,0.21876256,1.7802813,,,,,,,,,,,,,,,,,
42000,0.21726854,1.7529184,,,,,,,,,,,,,,,,,
42389,,,0.6494043469429016,1.7194828987121582,32.17564201220499,0.6631287932395935,1.622020959854126,28.50256416005369,3000.0,0.6725814938545227,1.54263174533844,27.770569045573712,3003.0,15159.63986825943,24609.04347920417,15159.63986825943,9447.651156663896,0.5486812591552734,0.0
42500,0.21454789,1.770171,,,,,,,,,,,,,,,,,
43000,0.21756238,1.8077639,,,,,,,,,,,,,,,,,
43500,0.2162802,1.840427,,,,,,,,,,,,,,,,,
44000,0.21090819,1.8447984,,,,,,,,,,,,,,,,,
44500,0.2189735,1.8945867,,,,,,,,,,,,,,,,,
44745,,,0.657556414604187,1.6528197526931765,32.68821486326358,0.6641207337379456,1.6081554889678955,28.56701699539272,3000.0,0.674487292766571,1.5296008586883545,27.91581044042552,3003.0,15999.80757331848,25936.64005255699,15999.80757331848,9934.987287282944,0.5746548175811768,0.0
45000,0.22332692,1.770663,,,,,,,,,,,,,,,,,
45500,0.22131889,1.7801615,,,,,,,,,,,,,,,,,
46000,0.21290095,1.7752346,,,,,,,,,,,,,,,,,
46500,0.23743325,1.8083749,,,,,,,,,,,,,,,,,
47000,0.20923845,1.694363,,,,,,,,,,,,,,,,,
47101,,,0.656990110874176,1.663627862930298,32.22773914432872,0.6657077670097351,1.5969038009643557,28.457516610878,3000.0,0.6777293682098389,1.5124273300170898,28.254601899911435,3003.0,16839.96423625946,27235.0104265213,16839.96423625946,10393.10680794716,0.6021087169647217,0.0
47500,0.22038528,1.8331083,,,,,,,,,,,,,,,,,
48000,0.21275271,1.7876445,,,,,,,,,,,,,,,,,
48500,0.20917338,1.706091,,,,,,,,,,,,,,,,,
49000,0.21384083,1.7917156,,,,,,,,,,,,,,,,,
49457,,,0.6551543474197388,1.664835810661316,32.41724343726786,0.6665013432502747,1.585096836090088,28.82016060908621,3000.0,0.6782174110412598,1.5012739896774292,28.237425596124154,3003.0,17680.039123773575,28553.427763938904,17680.039123773575,10871.355544090273,0.6291701793670654,0.0
49500,0.20891707,1.7817582,,,,,,,,,,,,,,,,,
50000,0.21908331,1.8179054,,,,,,,,,,,,,,,,,
50500,0.21098025,1.70311,,,,,,,,,,,,,,,,,
51000,0.21340433,1.7589939,,,,,,,,,,,,,,,,,
51500,0.20865089,1.6588155,,,,,,,,,,,,,,,,,
51813,,,0.6599031686782837,1.6309144496917725,32.88231161081743,0.6687827706336975,1.573830008506775,28.834698072084503,3000.0,0.6807855367660522,1.4898260831832886,28.567021618836947,3003.0,18520.285583257675,29865.055556058884,18520.285583257675,11342.643130540848,0.6553468704223633,0.0
52000,0.21118687,1.6513867,,,,,,,,,,,,,,,,,
52500,0.21149763,1.7255645,,,,,,,,,,,,,,,,,
53000,0.22040394,1.7192976,,,,,,,,,,,,,,,,,
53500,0.21494758,1.7651498,,,,,,,,,,,,,,,,,
54000,0.21101151,1.7796276,,,,,,,,,,,,,,,,,
54169,,,0.6590301990509033,1.636247992515564,32.68305358451159,0.6702706813812256,1.5636259317398071,28.83845566482773,3000.0,0.6809133887290955,1.476148247718811,28.5247227921742,3003.0,19360.457694768906,31199.683564424515,19360.457694768906,11837.004646778109,0.682880163192749,0.0
54500,0.21439019,1.6946541,,,,,,,,,,,,,,,,,
55000,0.21744736,1.761329,,,,,,,,,,,,,,,,,
55500,0.21472888,1.6800328,,,,,,,,,,,,,,,,,
56000,0.21749212,1.7821547,,,,,,,,,,,,,,,,,
56500,0.22181664,1.6798911,,,,,,,,,,,,,,,,,
56526,,,0.6727394461631775,1.547843337059021,33.704396974588924,0.67149817943573,1.556463599205017,28.940380949052926,3000.0,0.6832956075668335,1.47278094291687,28.48422535570874,3003.0,20200.66644477844,32496.691576719284,20200.66644477844,12293.708816289902,0.7112369537353516,0.0
57000,0.21645685,1.6943685,,,,,,,,,,,,,,,,,
57500,0.22066961,1.7352824,,,,,,,,,,,,,,,,,
58000,0.2180922,1.7001036,,,,,,,,,,,,,,,,,
58500,0.21516545,1.6970233,,,,,,,,,,,,,,,,,
58883,,,0.6654917597770691,1.5997649431228638,33.577646399954844,0.6734076142311096,1.5457199811935425,29.25365327177037,3000.0,0.6844227910041809,1.4603431224822998,28.45229719568105,3003.0,21040.87818574905,33849.52210497856,21040.87818574905,12806.23485136032,0.7371804714202881,0.0
59000,0.2173218,1.7281923,,,,,,,,,,,,,,,,,
59500,0.21932277,1.6666055,,,,,,,,,,,,,,,,,
60000,0.21425833,1.6823475,,,,,,,,,,,,,,,,,
60500,0.21154036,1.7361383,,,,,,,,,,,,,,,,,
61000,0.21498643,1.7154388,,,,,,,,,,,,,,,,,
61240,,,0.6613894701004028,1.621449589729309,32.875589064704464,0.6731472611427307,1.545297145843506,29.22795765081323,3000.0,0.685747504234314,1.4529186487197876,28.606576618818305,3003.0,21881.12133550644,35195.140328884125,21881.12133550644,13311.513763189316,0.7662217617034912,0.0
61500,0.21606958,1.6425222,,,,,,,,,,,,,,,,,
62000,0.21722296,1.661305,,,,,,,,,,,,,,,,,
62500,0.21673349,1.7008922,,,,,,,,,,,,,,,,,
63000,0.21770485,1.6674546,,,,,,,,,,,,,,,,,
63500,0.22619902,1.6627103,,,,,,,,,,,,,,,,,
63596,,,0.6703936457633972,1.561401128768921,33.186709795215776,0.6751186847686768,1.534382462501526,29.201814838306824,3000.0,0.6858869791030884,1.448622703552246,28.8951092703082,3003.0,22721.15820980072,36497.30195260048,22721.15820980072,13773.54467511177,0.792844295501709,0.0
64000,0.22085008,1.7482036,,,,,,,,,,,,,,,,,
64500,0.22629909,1.7450427,,,,,,,,,,,,,,,,,
65000,0.21417993,1.6081687,,,,,,,,,,,,,,,,,
65500,0.21375921,1.6108199,,,,,,,,,,,,,,,,,
65952,,,0.6658357381820679,1.5820873975753784,33.438667065409945,0.6747467517852783,1.529623031616211,29.082334854953466,3000.0,0.6879205107688904,1.4367201328277588,29.19896289156065,3003.0,23561.17252898216,37794.61520290375,23561.17252898216,14230.7484498024,0.8196899890899658,0.0
66000,0.21892352,1.5922904,,,,,,,,,,,,,,,,,
66500,0.23789765,1.6869102,,,,,,,,,,,,,,,,,
67000,0.22270209,1.6859472,,,,,,,,,,,,,,,,,
67500,0.21956398,1.6529177,,,,,,,,,,,,,,,,,
68000,0.2246493,1.5725234,,,,,,,,,,,,,,,,,
68308,,,0.6674439311027527,1.5769660472869873,33.443686855980154,0.6772265434265137,1.5254470109939575,29.456049313556623,3000.0,0.689175546169281,1.430817484855652,29.34665398865402,3003.0,24401.09858083725,39124.82380437851,24401.09858083725,14720.935827493668,0.8474724292755127,0.0
68500,0.22389494,1.7003624,,,,,,,,,,,,,,,,,
69000,0.21946888,1.6671529,,,,,,,,,,,,,,,,,
69500,0.22341922,1.6941519,,,,,,,,,,,,,,,,,
70000,0.22176442,1.6877028,,,,,,,,,,,,,,,,,
70500,0.21807818,1.5814689,,,,,,,,,,,,,,,,,
70664,,,0.6694921851158142,1.5606787204742432,34.002941847398326,0.6776109337806702,1.5192512273788452,29.4744042274841,3000.0,0.6896287202835083,1.4252281188964844,29.03749115100528,3003.0,25241.007563829426,40433.932607889175,25241.007563829426,15190.043044805529,0.873542070388794,0.0
71000,0.2223503,1.6672162,,,,,,,,,,,,,,,,,
71500,0.2262205,1.6197879,,,,,,,,,,,,,,,,,
72000,0.22580665,1.6536462,,,,,,,,,,,,,,,,,
72500,0.22058944,1.595596,,,,,,,,,,,,,,,,,
73000,0.22421154,1.6624535,,,,,,,,,,,,,,,,,
73020,,,0.6680378913879395,1.5732415914535522,33.73546634671619,0.6776357293128967,1.5150974988937378,29.337378188980896,3000.0,0.690395712852478,1.422254204750061,29.0496697371159,3003.0,26081.09904694557,41810.85783743858,26081.09904694557,15726.78298187256,0.9002184867858887,0.0
73500,0.22416387,1.6836976,,,,,,,,,,,,,,,,,
74000,0.22448249,1.6476561,,,,,,,,,,,,,,,,,
74500,0.21935949,1.5669161,,,,,,,,,,,,,,,,,
75000,0.21989745,1.6279501,,,,,,,,,,,,,,,,,
75376,,,0.678062915802002,1.508411526679993,34.37010738887513,0.6786896586418152,1.5128967761993408,29.44230447418976,3000.0,0.6909418702125549,1.4211509227752686,29.25364105142936,3003.0,26921.16145968437,43130.45228648186,26921.16145968437,16206.221158504486,0.9275047779083252,0.0
75500,0.22931598,1.6948962,,,,,,,,,,,,,,,,,
76000,0.23047549,1.694932,,,,,,,,,,,,,,,,,
76500,0.23347697,1.6450224,,,,,,,,,,,,,,,,,
77000,0.22362591,1.6301237,,,,,,,,,,,,,,,,,
77500,0.22931331,1.5890172,,,,,,,,,,,,,,,,,
77732,,,0.6716535687446594,1.5411198139190674,33.842845915802954,0.67948317527771,1.5097118616104126,29.65385683126937,3000.0,0.6924176812171936,1.4167795181274414,29.19959267030972,3003.0,27761.225507974625,44498.723195552826,27761.225507974625,16734.333786725998,0.9551715850830078,0.0
78000,0.23175228,1.6481049,,,,,,,,,,,,,,,,,
78500,0.23248161,1.6232793,,,,,,,,,,,,,,,,,
79000,0.22564507,1.634633,,,,,,,,,,,,,,,,,
79500,0.23244807,1.6217111,,,,,,,,,,,,,,,,,
80000,0.22975656,1.7063633,,,,,,,,,,,,,,,,,
80088,,,0.6748469471931458,1.5335164070129397,33.60797423619726,0.6788756251335144,1.5091896057128906,29.621779752797085,3000.0,0.6921387910842896,1.413880705833435,29.24740307613625,3003.0,28601.267050027847,45832.05685567856,28601.267050027847,17227.53161740303,0.9824159145355223,0.0
