global_step,grad_norm,loss,train/accuracy,train/loss,train/bleu,validation/accuracy,validation/loss,validation/bleu,validation/num_examples,test/accuracy,test/loss,test/bleu,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
99,2.2313106,9.138041,,,,,,,,,,,,,,,,,
100,2.2782807,9.103652,,,,,,,,,,,,,,,,,
500,0.22911774,8.493425,,,,,,,,,,,,,,,,,
1000,0.1800968,8.090133,,,,,,,,,,,,,,,,,
1500,0.7404836,7.4462676,,,,,,,,,,,,,,,,,
2000,0.3948464,6.737454,,,,,,,,,,,,,,,,,
2373,,,0.1655495911836624,6.375943660736084,0.5055459874411922,0.1615726947784423,6.475502967834473,0.0834649959242352,3000.0,0.1487072259187698,6.718201637268066,0.1019814298239866,3003.0,877.1536650657654,2600.9733667373657,877.1536650657654,1723.718737602234,0.0272684097290039,0.0
2500,0.5896187,6.314457,,,,,,,,,,,,,,,,,
3000,0.8288478,5.8812222,,,,,,,,,,,,,,,,,
3500,0.57494414,5.482123,,,,,,,,,,,,,,,,,
4000,0.642348,5.2733946,,,,,,,,,,,,,,,,,
4500,0.6376027,4.962014,,,,,,,,,,,,,,,,,
4746,,,0.2996319234371185,4.757896900177002,5.589181539208054,0.267969399690628,5.071068286895752,2.313022269605274,3000.0,0.2479925751686096,5.372460842132568,1.7368712242060385,3003.0,1717.140832901001,4279.43731546402,1717.140832901001,2562.092456817627,0.0544333457946777,0.0
5000,0.679281,4.724565,,,,,,,,,,,,,,,,,
5500,0.6139013,4.648838,,,,,,,,,,,,,,,,,
6000,0.64539033,4.377553,,,,,,,,,,,,,,,,,
6500,0.6917279,4.287588,,,,,,,,,,,,,,,,,
7000,0.6904834,4.19151,,,,,,,,,,,,,,,,,
7120,,,0.3576729893684387,3.9961116313934326,7.724495868299385,0.3177393972873688,4.359506607055664,3.3767921191211205,3000.0,0.2978211641311645,4.646053314208984,2.3950492710240585,3003.0,2557.3294196128845,5939.9991092681885,2557.3294196128845,3382.366870164871,0.0795748233795166,0.0
7500,0.6656439,4.0300684,,,,,,,,,,,,,,,,,
8000,0.63204706,4.0575094,,,,,,,,,,,,,,,,,
8500,0.65336865,3.8746486,,,,,,,,,,,,,,,,,
9000,0.61437064,3.8036,,,,,,,,,,,,,,,,,
9493,,,0.3939822316169739,3.5680007934570312,8.959164110927713,0.3531884253025055,3.897632122039795,4.132659223807464,3000.0,0.3317297101020813,4.168331623077393,2.939828795868217,3003.0,3397.510332107544,7577.262491941452,3397.510332107544,4179.34440946579,0.1079003810882568,0.0
9500,0.6472241,3.6292596,,,,,,,,,,,,,,,,,
10000,0.74455357,3.4463844,,,,,,,,,,,,,,,,,
10500,0.7297146,3.3228135,,,,,,,,,,,,,,,,,
11000,0.70426816,3.1168313,,,,,,,,,,,,,,,,,
11500,0.64510757,2.9442863,,,,,,,,,,,,,,,,,
11867,,,0.5276615619659424,2.6731984615325928,21.67014063505133,0.5194851756095886,2.7354586124420166,16.803285917460464,3000.0,0.5176340937614441,2.7942471504211426,15.075098528653776,3003.0,4237.694143295288,8939.687692403793,4237.694143295288,4701.488126993179,0.1335475444793701,0.0
12000,0.6580387,2.8558295,,,,,,,,,,,,,,,,,
12500,0.6168603,2.821977,,,,,,,,,,,,,,,,,
13000,0.60136425,2.6203785,,,,,,,,,,,,,,,,,
13500,0.5676829,2.633128,,,,,,,,,,,,,,,,,
14000,0.527802,2.4830914,,,,,,,,,,,,,,,,,
14239,,,0.5713105797767639,2.3388614654541016,26.30931954488054,0.5742024183273315,2.3315088748931885,21.292113283628584,3000.0,0.5747603178024292,2.337750196456909,19.65655123385915,3003.0,5077.872762441635,10250.646673440931,5077.872762441635,5172.160847663879,0.1597380638122558,0.0
14500,0.5344547,2.472294,,,,,,,,,,,,,,,,,
15000,0.4974494,2.3730843,,,,,,,,,,,,,,,,,
15500,0.4922765,2.3129594,,,,,,,,,,,,,,,,,
16000,0.494806,2.3515801,,,,,,,,,,,,,,,,,
16500,0.4947608,2.4235692,,,,,,,,,,,,,,,,,
16612,,,0.590408980846405,2.192633628845215,27.654218287671327,0.5975747108459473,2.1420791149139404,23.38976898772497,3000.0,0.6012085676193237,2.1240668296813965,21.892491493610297,3003.0,5917.961942195892,11511.964399814606,5917.961942195892,5593.289460659027,0.1841206550598144,0.0
17000,0.4774453,2.365086,,,,,,,,,,,,,,,,,
