global_step,grad_norm,loss,train/ssim,train/loss,validation/ssim,validation/loss,validation/num_examples,test/ssim,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
568,,,0.7137090819222587,0.2900528907775879,0.6931421626600309,0.308278029596933,3554.0,0.7093845038266197,0.3105322851944289,3581.0,219.9407954216004,434.7774419784546,219.9407954216004,214.753191947937,0.0638263225555419,0.0
804,,,0.7342711857386998,0.278077449117388,0.7118225612865785,0.298124795290078,3554.0,0.7285801201218235,0.2996748450480836,3581.0,300.0396840572357,518.9224259853363,300.0396840572357,218.7563507556916,0.0985028743743896,0.0
1000,0.48747495,0.24126343,,,,,,,,,,,,,,
1071,,,0.7307100296020508,0.2773703677313668,0.7092636872625915,0.2961386625325338,3554.0,0.7264182381841664,0.2977065848292202,3581.0,380.0322196483612,602.970507144928,380.0322196483612,222.7619407176972,0.1394245624542236,0.0
1416,,,0.7384279796055385,0.2728729248046875,0.715153425277856,0.2928565717105726,3554.0,0.7325364117913991,0.2942135535748569,3581.0,460.0895206928253,687.0680422782898,460.0895206928253,226.766271352768,0.1634714603424072,0.0
1500,0.048896052,0.3016044,,,,,,,,,,,,,,
1762,,,0.7374519620622907,0.2755184173583984,0.7135282483205543,0.2965305309048783,3554.0,0.7308696969465582,0.2976983695415037,3581.0,540.3066744804382,771.3264784812927,540.3066744804382,230.7711775302887,0.1878557205200195,0.0
2000,0.04518223,0.26332146,,,,,,,,,,,,,,
2107,,,0.739532470703125,0.2724058628082275,0.7168760111845808,0.2920952294070061,3554.0,0.7343357302429488,0.2933427330769164,3581.0,620.4586908817291,855.5218281745911,620.4586908817291,234.7770674228668,0.2133052349090576,0.0
2453,,,0.7421894073486328,0.27019693170275,0.7187736996386114,0.2905028197761325,3554.0,0.736140434650761,0.2917946797114982,3581.0,700.5758728981018,939.6834964752196,700.5758728981018,238.7852258682251,0.2377164363861084,0.0
2500,0.08742122,0.35508788,,,,,,,,,,,,,,
2799,,,0.7348504066467285,0.2739607266017368,0.7132425474597285,0.2937995425488885,3554.0,0.7304446154618124,0.2949343513290631,3581.0,780.5765445232391,1023.7344522476196,780.5765445232391,242.79572057724,0.2657864093780517,0.0
3000,0.22189492,0.27089658,,,,,,,,,,,,,,
3138,,,0.7440565654209682,0.2688911982945033,0.7205498673369795,0.289189997186269,3554.0,0.7379924536616866,0.2904579399085451,3581.0,859.3586831092834,1107.8747181892395,859.3586831092834,246.7997362613678,1.6082358360290527,0.0
3485,,,0.7447703906467983,0.2690566607883998,0.7204478558490434,0.290194106222742,3554.0,0.7376259359292097,0.2917214579769966,3581.0,939.5027601718904,1192.0677382946014,939.5027601718904,250.8126299381256,1.6320409774780271,0.0
3500,0.055511076,0.3081664,,,,,,,,,,,,,,
3831,,,0.7437173298427037,0.2694953509739467,0.7196235205929938,0.2902844052805817,3554.0,0.7368628345565136,0.2916618033981429,3581.0,1019.7263913154602,1276.3369517326355,1019.7263913154602,254.820499420166,1.6576337814331057,0.0
4000,0.27542657,0.22998473,,,,,,,,,,,,,,
4177,,,0.7425883156912667,0.2701357773372105,0.7184285092501407,0.2911229946671004,3554.0,0.7356820829551801,0.2923515807713453,3581.0,1099.80371427536,1360.461098909378,1099.80371427536,258.8310480117798,1.68200945854187,0.0
4500,0.041665137,0.26948655,,,,,,,,,,,,,,
4522,,,0.7430370194571358,0.2685233865465437,0.7193972405652083,0.2891522838483047,3554.0,0.7366717353741972,0.2903267339233978,3581.0,1179.837590932846,1444.543630361557,1179.837590932846,262.84356713294983,1.7062151432037354,0.0
4870,,,0.7477455820356097,0.2665167536054338,0.72379870997028,0.2872194924512873,3554.0,0.7409835683337406,0.2885769799047926,3581.0,1259.9367723464966,1528.6915168762207,1259.9367723464966,266.8551595211029,1.731090784072876,0.0
5000,0.077154905,0.33569515,,,,,,,,,,,,,,
5216,,,0.7460118702479771,0.2676813091550554,0.7222482727428602,0.288258292263119,3554.0,0.739535223335835,0.2895078299532254,3581.0,1340.084584236145,1612.8889000415802,1340.084584236145,270.8681514263153,1.7558166980743408,0.0
5500,0.027616682,0.2822255,,,,,,,,,,,,,,
5559,,,0.7454979079110282,0.2661801065717424,0.7207781395083005,0.287443436862514,3554.0,0.7381342611177045,0.2887038907602625,3581.0,1420.1950271129608,1697.0422103405,1420.1950271129608,274.874472618103,1.780358076095581,0.0
5905,,,0.7487978254045758,0.2662033694131033,0.7244744587964266,0.2872106651945871,3554.0,0.741631042088453,0.2885717303018535,3581.0,1500.4014608860016,1781.2989945411682,1500.4014608860016,278.88730454444885,1.805850982666016,0.0
6000,0.14764462,0.31113228,,,,,,,,,,,,,,
6252,,,0.7479001453944615,0.266214166368757,0.7237793380917628,0.2872260356123822,3554.0,0.7408985520367914,0.2886266466027297,3581.0,1580.407171010971,1865.3515849113464,1580.407171010971,282.8967549800873,1.83128023147583,0.0
6500,0.10084969,0.30583802,,,,,,,,,,,,,,
6597,,,0.7496989113943917,0.2654854570116315,0.7250975188607907,0.2869440442602086,3554.0,0.7421470712397026,0.2882757754140778,3581.0,1660.5164468288422,1949.5103151798248,1660.5164468288422,286.9084379673004,1.85713005065918,0.0
6946,,,0.7487668991088867,0.2661531823022025,0.7242020846889069,0.2874834858170371,3554.0,0.7414289664636274,0.2887986904081436,3581.0,1740.4863107204435,2033.526246547699,1740.4863107204435,290.91794538497925,1.881577014923096,0.0
7000,0.10217923,0.26973644,,,,,,,,,,,,,,
7295,,,0.7496943473815918,0.2669513055256435,0.725270011013119,0.2880012885733944,3554.0,0.7423625776668529,0.289406587610828,3581.0,1820.649185180664,2117.739616632461,1820.649185180664,294.9308342933655,1.9068729877471924,0.0
7500,0.08625635,0.23481122,,,,,,,,,,,,,,
7641,,,0.7473608425685337,0.265597973551069,0.7227614901343556,0.2866031301108785,3554.0,0.7401205199752164,0.2878559094439402,3581.0,1900.7383143901825,2201.876833677292,1900.7383143901825,298.94172716140747,1.932157039642334,0.0
7989,,,0.7495862415858677,0.2657821689333234,0.7250320529025394,0.2871384156441245,3554.0,0.7421009156398353,0.2884739649691951,3581.0,1980.8795635700224,2286.0644166469574,1980.8795635700224,302.9511024951935,1.957088708877564,0.0
8000,0.08611092,0.31802535,,,,,,,,,,,,,,
8337,,,0.7471889087132045,0.2671536207199096,0.7225542385120639,0.2882455494139526,3554.0,0.7398885829726334,0.2894206660914374,3581.0,2060.945021629333,2370.180587053299,2060.945021629333,306.9642815589905,1.9826514720916748,0.0
8500,0.10699654,0.26364025,,,,,,,,,,,,,,
8680,,,0.7467812129429409,0.2662778241293771,0.7237070026730444,0.2867281371177282,3554.0,0.740711679807491,0.288046804096272,3581.0,2140.958918571472,2454.2387657165527,2140.958918571472,310.9719698429108,2.007500410079956,0.0
9000,0.066322304,0.3451784,,,,,,,,,,,,,,
9026,,,0.7495227541242327,0.2648216826575143,0.7252862229398214,0.2860195694442002,3554.0,0.7423502376911129,0.2873271312569813,3581.0,2221.1261970996857,2538.4543948173523,2221.1261970996857,314.98337626457214,2.032464027404785,0.0
9373,,,0.7494371959141323,0.26519889490945,0.7250722392462718,0.2863115043403999,3554.0,0.7423318981691567,0.2875101855932351,3581.0,2301.2574365139008,2622.6306211948395,2301.2574365139008,318.9922306537628,2.056782960891724,0.0
9500,0.03270424,0.34575367,,,,,,,,,,,,,,
9716,,,0.7495240483965192,0.2649880817958286,0.72501941309528,0.286193641572436,3554.0,0.7422265652270664,0.2875102878582274,3581.0,2381.2785663604736,2706.7000274658203,2381.2785663604736,323.0022954940796,2.08311128616333,0.0
10000,0.07996806,0.307661,,,,,,,,,,,,,,
10063,,,0.7475699697222028,0.264983023915972,0.7232827447945976,0.286187699489132,3554.0,0.7405244666948827,0.2874262260345399,3581.0,2461.2821736335754,2790.753873348236,2461.2821736335754,327.015554189682,2.108154058456421,0.0
10410,,,0.7487034797668457,0.2647531543459211,0.724803849425823,0.2858131249835133,3554.0,0.7418104830616448,0.2871654843924532,3581.0,2541.3628528118134,2874.875556468964,2541.3628528118134,331.0197644233704,2.132921934127808,0.0
10500,0.10622489,0.25389832,,,,,,,,,,,,,,
10756,,,0.7505506787981305,0.2652586528233119,0.7259632769634566,0.2866016531768782,3554.0,0.7430258684070441,0.2879567768146991,3581.0,2621.329432487488,2958.887380599976,2621.329432487488,335.027152299881,2.158928632736206,0.0
11000,0.053446565,0.35556778,,,,,,,,,,,,,,
11102,,,0.7499722753252301,0.2641163212912423,0.7249746242130346,0.2856143056239448,3554.0,0.742228133290282,0.2868952321060807,3581.0,2701.427272081375,3043.0280764102936,2701.427272081375,339.03255581855774,2.184376001358032,0.0
11447,,,0.7513536725725446,0.2641415766307285,0.7267948938476013,0.2857043127297147,3554.0,0.7439178236700642,0.2869758510083601,3581.0,2781.394989967346,3127.0402104854584,2781.394989967346,343.0398864746094,2.2093801498413086,0.0
11500,0.052576035,0.29142597,,,,,,,,,,,,,,
11793,,,0.748730114528111,0.2648693493434361,0.7237476698790095,0.2863225985190542,3554.0,0.7410235198574071,0.2875628520642802,3581.0,2861.4267053604126,3211.1229317188263,2861.4267053604126,347.0522885322571,2.2360429763793945,0.0
12000,0.018954527,0.29968655,,,,,,,,,,,,,,
12139,,,0.7508773803710938,0.2640200853347778,0.725436320651027,0.2861012645028049,3554.0,0.7426836897427395,0.2873946943285744,3581.0,2941.529785633087,3295.272068977356,2941.529785633087,351.0596766471863,2.262653589248657,0.0
12488,,,0.7496088572910854,0.264393755367824,0.7244735657665659,0.2859869738542839,3554.0,0.7417982112625663,0.2872131398788746,3581.0,3021.503589630127,3379.292846441269,3021.503589630127,355.06878995895386,2.288327693939209,0.0
12500,0.044236787,0.40996236,,,,,,,,,,,,,,
12835,,,0.7500098773411342,0.264262318611145,0.7255326304867754,0.2855843719499595,3554.0,0.7427333905290072,0.286843111048328,3581.0,3101.5076262950897,3463.3437163829803,3101.5076262950897,359.07651376724243,2.315424919128418,0.0
13000,0.06974074,0.34588203,,,,,,,,,,,,,,
13183,,,0.7511359623500279,0.2635724714824131,0.7259679481965743,0.2855486507555307,3554.0,0.7431441549148282,0.2868319982524958,3581.0,3181.6909725666046,3547.575139760971,3181.6909725666046,363.08466720581055,2.343323945999145,0.0
13500,0.032491677,0.312984,,,,,,,,,,,,,,
